,Address,Latitude,Longitude,Flood Description,Flood Zone
0,"2114 CROCKER ST, Houston, Texas 77006",29.74967,-95.38983,AREA OF MINIMAL FLOOD HAZARD,X
1,"2114 GILLETTE ST, Houston, Texas 77006",29.75069,-95.38357,AREA OF MINIMAL FLOOD HAZARD,X
2,"2114 MASON ST, Houston, Texas 77006",29.75003,-95.38521,AREA OF MINIMAL FLOOD HAZARD,X
3,"2115 COMMONWEALTH ST, Houston, Texas 77006",29.74881,-95.39698,AREA OF MINIMAL FLOOD HAZARD,X
4,"2115 GILLETTE ST, Houston, Texas 77006",29.75039,-95.38284,AREA OF MINIMAL FLOOD HAZARD,X
5,"2115 HOPKINS ST, Houston, Texas 77006",29.7498,-95.38794,AREA OF MINIMAL FLOOD HAZARD,X
6,"2115 STANFORD ST, Houston, Texas 77006",29.74967,-95.38872,AREA OF MINIMAL FLOOD HAZARD,X
7,"2115 TAFT ST, Houston, Texas 77006",29.75,-95.38537,AREA OF MINIMAL FLOOD HAZARD,X
8,"2115 WAUGH DR 1, Houston, Texas 77006",29.74915,-95.39571,AREA OF MINIMAL FLOOD HAZARD,X
9,"2116 MASON ST, Houston, Texas 77006",29.74988,-95.38521,AREA OF MINIMAL FLOOD HAZARD,X
10,"2116 SUTTON ST, Houston, Texas 77006",29.75062,-95.38363,AREA OF MINIMAL FLOOD HAZARD,X
11,"2117 CROCKER ST, Houston, Texas 77006",29.74968,-95.38951,AREA OF MINIMAL FLOOD HAZARD,X
12,"2117 HOPKINS ST, Houston, Texas 77006",29.74971,-95.38794,AREA OF MINIMAL FLOOD HAZARD,X
13,"2117 STANFORD ST, Houston, Texas 77006",29.7496,-95.38872,AREA OF MINIMAL FLOOD HAZARD,X
14,"2117 WAUGH DR 1, Houston, Texas 77006",29.74909,-95.39568,AREA OF MINIMAL FLOOD HAZARD,X
15,"2118 CROCKER ST, Houston, Texas 77006",29.74958,-95.38983,AREA OF MINIMAL FLOOD HAZARD,X
16,"2118 GENESEE ST, Houston, Texas 77006",29.74991,-95.38426,AREA OF MINIMAL FLOOD HAZARD,X
17,"2118 MASON ST, Houston, Texas 77006",29.74988,-95.3851,AREA OF MINIMAL FLOOD HAZARD,X
18,"2119 CONVERSE ST A, Houston, Texas 77006",29.74975,-95.3903,AREA OF MINIMAL FLOOD HAZARD,X
19,"2119 CONVERSE ST B, Houston, Texas 77006",29.74975,-95.3903,AREA OF MINIMAL FLOOD HAZARD,X
20,"2119 CONVERSE ST C, Houston, Texas 77006",29.74975,-95.3903,AREA OF MINIMAL FLOOD HAZARD,X
21,"2119 GILLETTE ST, Houston, Texas 77006",29.75039,-95.38273,AREA OF MINIMAL FLOOD HAZARD,X
22,"2119 HOPKINS ST, Houston, Texas 77006",29.74962,-95.38793,AREA OF MINIMAL FLOOD HAZARD,X
23,"2119 TAFT ST, Houston, Texas 77006",29.74988,-95.38537,AREA OF MINIMAL FLOOD HAZARD,X
24,"2119 WAUGH DR 1, Houston, Texas 77006",29.74905,-95.39566,AREA OF MINIMAL FLOOD HAZARD,X
25,"212 BREMOND ST, Houston, Texas 77006",29.74972,-95.38014,AREA OF MINIMAL FLOOD HAZARD,X
26,"212 DENNIS ST, Houston, Texas 77006",29.74838,-95.38121,AREA OF MINIMAL FLOOD HAZARD,X
27,"212 HAWTHORNE ST, Houston, Texas 77006",29.74283,-95.38255,AREA OF MINIMAL FLOOD HAZARD,X
