,Address,Latitude,Longitude,Flood Description,Flood Zone
0,"1 BUELL CT Houston, Texas 77006",29.75196,-95.38739,AREA OF MINIMAL FLOOD HAZARD,X
1,"1 COURTLANDT PL Houston, Texas 77006",29.74328,-95.38205,AREA OF MINIMAL FLOOD HAZARD,X
2,"10 COURTLANDT PL Houston, Texas 77006",29.74395,-95.38359,AREA OF MINIMAL FLOOD HAZARD,X
3,"100 AVONDALE ST Houston, Texas 77006",29.74536,-95.38189,AREA OF MINIMAL FLOOD HAZARD,X
4,"100 AVONDALE ST A Houston, Texas 77006",29.74536,-95.38189,AREA OF MINIMAL FLOOD HAZARD,X
5,"1000 BARTLETT ST Houston, Texas 77006",29.72789,-95.39202,AREA OF MINIMAL FLOOD HAZARD,X
6,"1001 BARKDULL ST Houston, Texas 77006",29.7284,-95.39202,AREA OF MINIMAL FLOOD HAZARD,X
7,"1002 BARKDULL ST Houston, Texas 77006",29.72867,-95.39207,AREA OF MINIMAL FLOOD HAZARD,X
8,"1002 BARTLETT ST Houston, Texas 77006",29.72789,-95.39211,AREA OF MINIMAL FLOOD HAZARD,X
9,"1002 BOMAR ST Houston, Texas 77006",29.75199,-95.39135,AREA OF MINIMAL FLOOD HAZARD,X
10,"1003 BARKDULL ST Houston, Texas 77006",29.7284,-95.39209,AREA OF MINIMAL FLOOD HAZARD,X
11,"1003 BOMAR ST Houston, Texas 77006",29.75156,-95.39155,AREA OF MINIMAL FLOOD HAZARD,X
12,"1004 BARKDULL ST Houston, Texas 77006",29.72869,-95.39216,AREA OF MINIMAL FLOOD HAZARD,X
13,"1004 BARTLETT ST Houston, Texas 77006",29.72789,-95.39219,AREA OF MINIMAL FLOOD HAZARD,X
14,"1004 BOMAR ST Houston, Texas 77006",29.75196,-95.39154,AREA OF MINIMAL FLOOD HAZARD,X
15,"1005 BARKDULL ST Houston, Texas 77006",29.7284,-95.39217,AREA OF MINIMAL FLOOD HAZARD,X
16,"1006 BARTLETT ST Houston, Texas 77006",29.72789,-95.39226,AREA OF MINIMAL FLOOD HAZARD,X
17,"1007 BARKDULL ST 4 Houston, Texas 77006",29.7284,-95.39225,AREA OF MINIMAL FLOOD HAZARD,X
18,"1008 BARKDULL ST Houston, Texas 77006",29.72872,-95.39234,AREA OF MINIMAL FLOOD HAZARD,X
19,"1008 BARTLETT ST Houston, Texas 77006",29.72788,-95.39234,AREA OF MINIMAL FLOOD HAZARD,X
20,"1009 BARKDULL ST Houston, Texas 77006",29.72839,-95.39233,AREA OF MINIMAL FLOOD HAZARD,X
21,"1009 PEDEN ST Houston, Texas 77006",29.75243,-95.39113,AREA OF MINIMAL FLOOD HAZARD,X
22,"101 DREW ST Houston, Texas 77006",29.74827,-95.38277,AREA OF MINIMAL FLOOD HAZARD,X
23,"101 WESTHEIMER RD A Houston, Texas 77006",29.7444,-95.38218,AREA OF MINIMAL FLOOD HAZARD,X
24,"101 WESTHEIMER RD B Houston, Texas 77006",29.7444,-95.38218,AREA OF MINIMAL FLOOD HAZARD,X
25,"101 WESTHEIMER RD C Houston, Texas 77006",29.7444,-95.38218,AREA OF MINIMAL FLOOD HAZARD,X
26,"101 WESTHEIMER RD D Houston, Texas 77006",29.7444,-95.38218,AREA OF MINIMAL FLOOD HAZARD,X
27,"101 WESTHEIMER RD E Houston, Texas 77006",29.7444,-95.38218,AREA OF MINIMAL FLOOD HAZARD,X
28,"101 WESTHEIMER RD F Houston, Texas 77006",29.7444,-95.38218,AREA OF MINIMAL FLOOD HAZARD,X
29,"1010 BARTLETT ST Houston, Texas 77006",29.72788,-95.39241,AREA OF MINIMAL FLOOD HAZARD,X
30,"1011 BARKDULL ST Houston, Texas 77006",29.7284,-95.39241,AREA OF MINIMAL FLOOD HAZARD,X
