,Address,Latitude,Longitude,Flood Description,Flood Zone
0,"2011 DREXEL DR HOUSTON, Texas 77027",29.7459,-95.44389,AREA OF MINIMAL FLOOD HAZARD,X
1,"2015 DREXEL DR HOUSTON, Texas 77027",29.7456,-95.44388,AREA OF MINIMAL FLOOD HAZARD,X
2,"2019 DREXEL DR HOUSTON, Texas 77027",29.74528,-95.44387,AREA OF MINIMAL FLOOD HAZARD,X
3,"2023 DREXEL DR HOUSTON, Texas 77027",29.74501,-95.44387,AREA OF MINIMAL FLOOD HAZARD,X
4,"2027 DREXEL DR HOUSTON, Texas 77027",29.74472,-95.44387,AREA OF MINIMAL FLOOD HAZARD,X
5,"3950 W ALABAMA ST HOUSTON, Texas 77027",29.73833,-95.4448,AREA OF MINIMAL FLOOD HAZARD,X
6,"3216 ALABAMA CT HOUSTON, Texas 77027",29.73579,-95.43423,AREA OF MINIMAL FLOOD HAZARD,X
7,"3208 ALABAMA CT HOUSTON, Texas 77027",29.73612,-95.43423,AREA OF MINIMAL FLOOD HAZARD,X
8,"3212 ALABAMA CT HOUSTON, Texas 77027",29.73598,-95.43423,AREA OF MINIMAL FLOOD HAZARD,X
9,"3220 ALABAMA CT HOUSTON, Texas 77027",29.73577,-95.43452,AREA OF MINIMAL FLOOD HAZARD,X
10,"3222 ALABAMA CT HOUSTON, Texas 77027",29.73594,-95.43454,AREA OF MINIMAL FLOOD HAZARD,X
11,"3224 ALABAMA CT HOUSTON, Texas 77027",29.73611,-95.43452,AREA OF MINIMAL FLOOD HAZARD,X
12,"2948 SAINT ST HOUSTON, Texas 77027",29.73847,-95.43566,AREA OF MINIMAL FLOOD HAZARD,X
13,"2904 SAINT ST HOUSTON, Texas 77027",29.73912,-95.43553,AREA OF MINIMAL FLOOD HAZARD,X
14,"2952 SAINT ST HOUSTON, Texas 77027",29.73849,-95.43551,AREA OF MINIMAL FLOOD HAZARD,X
15,"2900 SAINT ST HOUSTON, Texas 77027",29.73912,-95.43538,AREA OF MINIMAL FLOOD HAZARD,X
