,ACCOUNT,SITE_ADDR_1_2019,SITE_ADDR_3_2019
149,82710010004,3916 GARROTT ST,77006
150,82710010005,500 BRANARD ST,77006
151,82710010006,502 BRANARD ST,77006
152,82720000002,4014 GARROTT ST,77006
153,82720000015,506 W MAIN ST,77006
154,82730000001,505 W MAIN ST,77006
155,82730000005,507 W MAIN ST,77006
156,82730000006,508 COLQUITT,77006
157,90690000004,1013 ROBIN ST,77019
158,90700020001,1010 ROBIN ST,77019
159,90700020002,1008 ROBIN ST,77019
160,90720010001,1115 SAULNIER ST,77019
161,90720010002,1113 SAULNIER ST,77019
162,90720010003,1124 ROBIN ST,77019
163,90720010004,1120 ROBIN ST,77019
164,90720010005,1108 ROBIN ST,77019
165,90720010006,1106 ROBIN ST,77019
166,90720010007,1104 ROBIN ST,77019
167,90720010008,1102 ROBIN ST,77019
169,90730030001,1109 ROBIN ST,77019
170,90730030002,1107 ROBIN ST,77019
171,90730030003,1105 ROBIN ST,77019
172,90730030004,1103 ROBIN ST,77019
173,90740000004,1217 ROBIN ST,77019
174,90740000006,1211 MATTHEWS ST,77019
175,90770000015,1109 WILSON ST,77019
176,90770000016,1309 SAULNIER ST,77019
177,90770000017,1311 SAULNIER ST,77019
178,90770000018,1313 SAULNIER ST,77019
179,90830000007,1516 ROBIN ST,77019
180,90830000009,1502 ROBIN ST,77019
181,90850000003,1613 ROBIN ST,77019
182,90860000001,1601 SAULNIER ST,77019
183,90860000002,1605 SAULNIER ST,77019
184,90860000003,1607 SAULNIER ST,77019
185,90860000004,1609 SAULNIER ST,77019
186,90860000005,1613 SAULNIER ST,77019
187,90860000014,1603 SAULNIER ST,77019
188,90870000017,1020 GILLETTE ST,77019
189,90870000020,1606 SAULNIER ST,77019
190,90950010001,1202 CUSHING ST,77019
191,90950010002,1204 CUSHING ST,77019
192,90950010003,1206 CUSHING ST,77019
193,90970000002,307 BOMAR ST,77006
194,90970000007,306 WILLARD ST,77006
195,90980000002,409 BOMAR ST,77006
196,90980000003,405 BOMAR ST,77006
197,90980000005,402 WILLARD ST,77006
198,90980000006,406 WILLARD ST,77006
199,90980000007,416 WILLARD ST,77006
200,90990000001,515 BOMAR ST,77006
201,90990000002,511 BOMAR ST,77006
202,90990000005,502 WILLARD ST,77006
203,90990000006,506 WILLARD ST,77006
204,90990000007,508 WILLARD ST,77006
205,90990000008,520 WILLARD ST,77006
206,91000000001,619 BOMAR ST,77006
207,91000000002,609 BOMAR ST,77006
208,91000000005,606 WILLARD ST,77006
209,91000000006,608 WILLARD ST,77006
210,91000000007,612 WILLARD ST,77006
211,91010000002,713 BOMAR ST,77006
212,91010000003,709 BOMAR ST,77006
213,91010000004,703 BOMAR ST,77006
214,91010000005,704 WILLARD ST,77006
215,91010000006,714 WILLARD ST,77006
216,91010000007,716 WILLARD ST,77006
217,91020000001,807 BOMAR ST,77006
218,91020000005,802 WILLARD ST,77006
219,91030000001,911 BOMAR ST,77006
220,91030000002,909 BOMAR ST,77006
221,91030000003,905 BOMAR ST,77006
222,91030000004,901 BOMAR ST,77006
223,91030000005,902 WILLARD ST,77006
224,91030000006,904 WILLARD ST,77006
225,91030000007,906 WILLARD ST,77006
226,91030000008,908 WILLARD ST,77006
227,91060000001,908 BOMAR ST,77006
228,91060000002,904 BOMAR ST,77006
229,91060000003,902 BOMAR ST,77006
230,91060000004,808 BOMAR ST,77006
231,91060000006,806 BOMAR ST,77006
232,91060000007,804 BOMAR ST,77006
233,91060000009,906 BOMAR ST,77006
234,91070000002,402 BOMAR ST,77006
235,91190000006,1114 CHAPMAN ST,77002
236,101500300007,2903 VIRGINIA ST,77098
237,101500300008,2909 VIRGINIA ST,77098
238,101500300010,2911 VIRGINIA ST,77098
239,101500300011,2905 VIRGINIA ST,77098
240,101500300012,2907 VIRGINIA ST,77098
241,101500300019,2719 KIPLING ST B,77098
242,101500300020,2719 KIPLING ST A,77098
243,101500300021,2719 KIPLING ST D,77098
