,address,zip_code
193,1118 JACKSON BLVD,77006
194,1118 MILFORD ST,77006
195,1118 W DREW ST,77006
196,1118 WELCH ST A,77006
197,1118 WELCH ST B,77006
198,1118 WILLARD ST,77006
199,1119 BANKS ST,77006
200,1119 BERTHEA ST,77006
201,1119 JACKSON BLVD,77006
202,1119 WELCH ST,77006
203,1119 WILLARD ST,77006
204,112 MCGOWEN ST,77006
205,112 OAK PL,77006
206,112 WELCH ST A,77006
207,112 WELCH ST B,77006
208,112 WELCH ST C,77006
209,1120 W DREW ST,77006
210,1120 WELCH ST,77006
211,1120 WILLARD ST,77006
212,1121 BANKS ST A,77006
213,1121 BANKS ST B,77006
214,1121 BERTHEA ST,77006
215,1121 BOMAR ST,77006
216,1121 JACKSON BLVD,77006
217,1121 W GRAY ST,77006
218,1121 W WEBSTER ST,77006
219,1121 WELCH ST,77006
220,1121 WILLARD ST,77006
221,1122 BOMAR ST,77006
222,1122 JACKSON BLVD,77006
223,1122 MILFORD ST,77006
224,1122 W DREW ST,77006
225,1122 WELCH ST,77006
226,1122 WILLARD ST,77006
227,1123 BANKS ST A,77006
228,1123 BANKS ST B,77006
229,1123 BERTHEA ST,77006
230,1123 BOMAR ST,77006
231,1123 WELCH ST,77006
232,1124 BOMAR ST,77006
233,1124 JACKSON BLVD,77006
234,1124 W CLAY ST,77019
235,1124 W DREW ST,77006
236,1125 BANKS ST A,77006
237,1125 BANKS ST B,77006
238,1125 JACKSON BLVD,77006
239,1126 BANKS ST,77006
240,1127 BANKS ST A,77006
241,1127 BANKS ST B,77006
242,1128 COLQUITT ST,77006
243,1129 BANKS ST,77006
244,113 DENNIS ST,77006
245,113 TUAM ST,77006
246,113 WELCH ST,77006
247,1130 BANKS ST,77006
248,114 DREW ST,77006
249,114 OAK PL,77006
250,115 DENNIS ST,77006
251,115 WELCH ST,77006
252,116 HAWTHORNE ST,77006
253,116 OAK PL,77006
254,117 WILLARD ST,77006
255,118 DREW ST,77006
256,118 OAK PL,77006
257,118 TUAM ST,77006
258,119 DENNIS ST,77006
259,119 TUAM ST,77006
260,119 WILLARD ST,77006
261,12 HYDE PARK BLVD,77006
262,12 HYDE PARK BLVD 2,77006
263,12 HYDE PARK BLVD 9,77006
264,120 OAK PL,77006
265,1200 BOMAR ST,77006
266,1200 JACKSON BLVD,77006
267,1201 AUTREY ST,77006
268,1201 BANKS ST,77006
269,1201 BARKDULL ST,77006
